Name,Description,Category,Source,License,URL
"2CylinderEngine","Two-cylinder engine block showcasing PBR materials","Mechanical","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/2CylinderEngine"
"AntiqueCamera","Vintage bellows camera with detailed mechanical parts","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AntiqueCamera"
"Avocado","Photorealistic avocado with detailed texture mapping","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Avocado"
"BarramundiFish","Rigged and animated fish demonstrating skinning","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BarramundiFish"
"BoomBox","80s-style boombox with metal plastic and glass materials","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoomBox"
"BoomBoxWithSpecularGlossiness","BoomBox using KHR_materials_pbrSpecularGlossiness extension","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoomBoxWithSpecularGlossiness"
"Box","Basic untextured box primitive","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Box"
"BoxAnimated","Box with keyframe animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoxAnimated"
"BoxInterleaved","Box with interleaved vertex data","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoxInterleaved"
"BoxTextured","Box with base color texture","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoxTextured"
"BoxTexturedNonPowerOfTwo","Box with non-power-of-two texture (NPOT test)","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoxTexturedNonPowerOfTwo"
"BoxVertexColors","Box with per-vertex colors","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BoxVertexColors"
"BrainStem","Anatomical brain stem for medical visualization","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BrainStem"
"Buggy","Cartoonish off-road buggy vehicle with animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Buggy"
"CesiumMan","Cesium mascot character with running animation (skinning)","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/CesiumMan"
"CesiumMilkTruck","Vintage milk truck with wheel rotation animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/CesiumMilkTruck"
"Corset","Fabric corset demonstrating sheen and clearcoat materials","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Corset"
"Cube","Basic untextured cube primitive","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Cube"
"DamagedHelmet","The iconic PBR sci-fi helmet with scratches and grime","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/DamagedHelmet"
"Diamond","Faceted diamond gemstone model","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Diamond"
"Duck","The classic rubber duck reference model","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Duck"
"FlightHelmet","Detailed pilot helmet with multiple material zones and PBR","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/FlightHelmet"
"GearboxAssy","Gearbox assembly with multiple mechanical parts","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/GearboxAssy"
"IridescenceLamp","Lamp showcasing iridescence material extension","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/IridescenceLamp"
"IridescentDishWithOlives","Glass dish with iridescent olives (iridescence + transmission)","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/IridescentDishWithOlives"
"Lantern","Ornate metal lantern with glowing emissive interior","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Lantern"
"LightsPunctualLamp","Lamp using KHR_lights_punctual extension","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/LightsPunctualLamp"
"MaterialVariantsShoe","Shoe model with swappable material variants","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MaterialVariantsShoe"
"MetalRoughSpheres","Spheres showing PBR metal/rough gradient","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MetalRoughSpheres"
"MetalRoughSpheresNoTextures","Same metal/rough spheres without textures","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MetalRoughSpheresNoTextures"
"MosquitoInAmber","Mosquito preserved in amber demonstrating transmission","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MosquitoInAmber"
"Outhouse","Wooden outhouse building for PBR and shadow tests","Architecture","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Outhouse"
"ReciprocatingSaw","Power tool with varied materials","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/ReciprocatingSaw"
"SciFiHelmet","Clean sci-fi helmet with specular material extension","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SciFiHelmet"
"SpecGlossVsMetalRough","Spec-gloss vs metal-rough material workflow comparison","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SpecGlossVsMetalRough"
"Sphere","Basic untextured sphere primitive","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Sphere"
"SphereWithPrimitiveColors","Sphere with per-vertex colors","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SphereWithPrimitiveColors"
"Sponza","The famous Sponza atrium for lighting and shadow testing","Architecture","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Sponza"
"Suzanne","Blender's classic monkey head reference model","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Suzanne"
"ToyCar","Toy car model with materials and animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/ToyCar"
